year,postal_code,price,property_size_description,formatted_address,latitude,longitude,geo_county
2012,Dublin 18,154185.02,greater than or equal to 38 sq metres and less than 125 sq metres,"Apartment 27 The Sycamore, Elmfield, Ballyogan Rd, Sandyford, Dublin 18, Ireland",53.2604944,-6.2061207,Dn Laoghaire-Rathdown
2012,,116740,greater than or equal to 38 sq metres and less than 125 sq metres,"1 The Paddocks Rd, Adamstown, Lucan, Co. Dublin, K78 X729, Ireland",53.3466877,-6.4585006,South Dublin
2012,,421000,greater than 125 sq metres,"Abbey Close, Loreto Terrace, Rathfarnham, Dublin 14, Ireland",53.2939931,-6.2794633,South Dublin
2012,,105726.87,greater than or equal to 38 sq metres and less than 125 sq metres,"2, Castlegate House, Adamstown Ave, Adamstown Castle, Lucan, Co. Dublin, Ireland",53.3375978,-6.4620437,South Dublin
2012,Dublin 15,140925.11,greater than or equal to 38 sq metres and less than 125 sq metres,"1 Barnwell Terrace, Hansfield, Dublin 15, D15 HT9F, Ireland",53.3912,-6.4437823,Fingal
2012,,242290.74,greater than or equal to 38 sq metres and less than 125 sq metres,"Beverton Wood, Beaverstown, Donabate, Co. Dublin, Ireland",53.4908849,-6.159376,Fingal
2012,,130000,greater than or equal to 38 sq metres and less than 125 sq metres,"1 Burgage Cres, Commons Little, Newcastle, Co. Dublin, D22 DX95, Ireland",53.2979894,-6.4945134,South Dublin
2012,Dublin 15,638766.51,greater than 125 sq metres,"1 Somerton Rd, Co. Dublin, Ireland",53.3652156,-6.3883393,Fingal
2012,,176211,greater than or equal to 38 sq metres and less than 125 sq metres,"1 Castleland Park View, Castleland, Balbriggan, Co. Dublin, K32 CK82, Ireland",53.5996729,-6.1769894,Fingal
2012,,112500,greater than or equal to 38 sq metres and less than 125 sq metres,"Hollystown, Co. Dublin, Ireland",53.4285822,-6.3820454,Fingal
2012,,4.00E+05,greater than or equal to 38 sq metres and less than 125 sq metres,"1 Claremont Ave, Honeypark, Dublin, Ireland",53.282893,-6.1468272,Dn Laoghaire-Rathdown
2012,,444934,greater than 125 sq metres,"Dargan Dr, Honeypark, Dublin, Ireland",53.2821112,-6.1447683,Dn Laoghaire-Rathdown
2012,,129422,greater than or equal to 38 sq metres and less than 125 sq metres,"1 Heathfield Cl, Heathfield Green, Cappoge, Dublin 11, D11 E7C0, Ireland",53.3953884,-6.3273359,Fingal
2012,Dublin 11,129422.02,greater than or equal to 38 sq metres and less than 125 sq metres,"1 Heathfield Green, Kildonan, Dublin 11, D11 C6R9, Ireland",53.3947578,-6.3224868,Fingal
