year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2016,15/02/2016,155000,N,,"1 Willan's Grove S, Ongar Green, Dublin 15, D15 N2K1, Ireland",53.3940653,-6.4435987,Fingal
2016,14/09/2016,150000,S,,"1 Main St, Clongriffin, Dublin 13, D13 E4F3, Ireland",53.4022601,-6.1514775,Dublin City
2016,25/10/2016,85000,S,,"1A Emmet St, Mountjoy, Dublin 1, D01 H9F7, Ireland",53.3575007,-6.253994,Dublin City
2016,10/05/2016,233000,S,,"1 Abbeylea Dr, Commons West, Swords, Co. Dublin, K67 WK27, Ireland",53.462345,-6.2328621,Fingal
2016,20/12/2016,322000,S,,"1 An Cuarbhóthar Thuaidh, Sráid Abairdin, Arran Quay, Dublin 7, D07 R622, Ireland",53.3514023,-6.2963375,Dublin City
2016,01/12/2016,940000,S,,"1, Achill Terrace, Waterville Rd, Waterville, Dublin 15, Ireland",53.3932083,-6.3675667,Fingal
2016,10/03/2016,270000,S,,"1 Armstrong Walk, Kilmore, Dublin 5, D05 TW61, Ireland",53.3925338,-6.2106286,Dublin City
2016,26/08/2016,4.00E+05,N,,"1 Arnold Grove, Glenageary, Dublin, A96 C9W4, Ireland",53.2718309,-6.1282596,Dn Laoghaire-Rathdown
2016,11/05/2016,515418.5,S,greater than 125 sq metres,"Albany House, Shanganagh Rd, Ballybrack, Killiney, Co. Dublin, Ireland",53.2513551,-6.1221341,Dn Laoghaire-Rathdown
2016,29/01/2016,335000,S,,"Anglesea Lodge, Anglesea Rd, Dublin 4, Ireland",53.3226062,-6.2309117,Dublin City
2016,19/12/2016,191000,S,greater than or equal to 38 sq metres and less than 125 sq metres,"Ashley Hall St Edmunds, Lucan, Co. Dublin, Ireland",53.3550785,-6.4066349,South Dublin
2016,18/11/2016,315000,S,,"1 Bayside Blvd S, Kilbarrack Lower, Dublin 13, D13 NP99, Ireland",53.3865744,-6.13907,Fingal
2016,04/05/2016,522000,S,,"1 Beach Dr, Dublin 4, D04 KX71, Ireland",53.3352529,-6.2171793,Dublin City
2016,22/12/2016,282500,S,,"1 Beau Park Mews, Clongriffin, Dublin 13, D13 PW65, Ireland",53.4013009,-6.1524528,Dublin City
2016,06/04/2016,425000,S,,"1, Beechwood Ave Lower, Dublin 6, Ireland",53.3237764,-6.2534139,Dublin City
2016,02/06/2016,201500,S,,"1 Belfry Square, Citywest, Dublin, D24 Y304, Ireland",53.2767715,-6.4166998,South Dublin
2016,29/09/2016,1450000,S,,"1 Belgrave Rd, Dublin 6, D06 EF67, Ireland",53.3206067,-6.2597548,Dublin City
2016,03/11/2016,125500,S,greater than or equal to 38 sq metres and less than 125 sq metres,"Bethany House, Gilford Rd, Dublin 4, Ireland",53.3283802,-6.2139365,Dublin City
2016,22/02/2016,630000,N,,"1 Binn Eadair View, The Ct, Burrow, Dublin 13, D13 T9C1, Ireland",53.3901366,-6.1196851,Fingal
2016,12/02/2016,235000,N,,"Blackhorse Downs, Blackhorse Ave, Cabra West, Dublin 7, Ireland",53.3578466,-6.2999733,Dublin City
2016,08/11/2016,195000,N,,"1 Blakestown Rd, Blakestown, Dublin 15, D15 TKH7, Ireland",53.3990698,-6.401029,Fingal
