year,sale_date,postal_code,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2017,22/06/2017,Dublin 15,445475,New Dwelling house /Apartment,less than 38 sq metres,"Calmount Park, Calmount Ave, Ballymount, Dublin, Ireland",53.3129587,-6.3458024,South Dublin
2017,21/02/2017,Dublin 2,7750000,Second-Hand Dwelling house /Apartment,,"Alexander Court, Pembroke Street Upper, Dublin 2, Ireland",53.3348716,-6.2543791,Dublin City
2017,10/05/2017,,180000,Second-Hand Dwelling house /Apartment,,"Arcadia Court, The Square, Townparks, Skerries, Co. Dublin, Ireland",53.5805585,-6.1115129,Fingal
2017,16/02/2017,,242775.42,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"33 Glenageary Rd Upper, Honeypark, Dublin, Ireland",53.2827569,-6.141109,Dn Laoghaire-Rathdown
2017,11/05/2017,,343612.33,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"24 Abbots grove, Ballycullen, Knocklyon, Co. Dublin, Ireland",53.2710579,-6.3252412,South Dublin
2017,13/02/2017,,339207.05,New Dwelling house /Apartment,greater than or equal to 125 sq metres,"Miltonsfields, Swords, Co. Dublin, Ireland",53.4543462,-6.2244447,Fingal
2017,10/01/2017,,1325000,Second-Hand Dwelling house /Apartment,,"1 Barnacoille Park, Glenageary, Dublin, Ireland",53.2811764,-6.1043738,Dn Laoghaire-Rathdown
2017,23/02/2017,,520000,Second-Hand Dwelling house /Apartment,,"1 Beaufield Park, Stillorgan, Dublin, A94 N594, Ireland",53.2884128,-6.2023409,Dn Laoghaire-Rathdown
2017,28/04/2017,,2.00E+05,Second-Hand Dwelling house /Apartment,,"1 Belfry Pl, Lusk Village, Lusk, Co. Dublin, K45 E820, Ireland",53.5290619,-6.1631444,Fingal
2017,09/05/2017,Dublin 4,660000,Second-Hand Dwelling house /Apartment,,"1 Belmont Park, Dublin 4, D04 P8E2, Ireland",53.3223995,-6.2384155,Dublin City
2017,24/04/2017,Dublin 24,239000,Second-Hand Dwelling house /Apartment,,"1 Bolbrook Ave, Tymon South, Dublin 24, D24 Y9NN, Ireland",53.2867409,-6.3419934,South Dublin
2017,29/03/2017,Dublin 1,280000,Second-Hand Dwelling house /Apartment,,"3 Boyne House, Custom House Square, Mayor Street Lower, International Financial Services Centre, Dublin 1, Ireland",53.3493534,-6.242606,Dublin City
2017,07/03/2017,Dublin 24,240000,Second-Hand Dwelling house /Apartment,,"1 Brookmount Ave, Balrothery, Dublin 24, D24 W01T, Ireland",53.2907257,-6.3346529,South Dublin
2017,06/03/2017,Dublin 14,751000,Second-Hand Dwelling house /Apartment,,"Butterfield Meadow, Butterfield Cres, Rathfarnham, Dublin 14, Ireland",53.2957675,-6.2914325,South Dublin
2017,10/03/2017,Dublin 13,3.00E+05,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"1 Balgriffin Park, Balgriffin, Dublin 13, D13 E3H7, Ireland",53.4107616,-6.1644029,Fingal
2017,19/05/2017,,308370,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Beresford Green, Donabate, Co. Dublin, Ireland",53.4889065,-6.1624365,Fingal
2017,09/01/2017,,123348.02,New Dwelling house /Apartment,less than 38 sq metres,"Apartment 8, Brock Hall, Brock's Ln, Glenageary, Dublin, Ireland",53.2943511,-6.1420837,Dn Laoghaire-Rathdown
2017,14/03/2017,Dublin 7,385000,Second-Hand Dwelling house /Apartment,,"1 Carnew St, Arbour Hill, Dublin 7, D07 T6N9, Ireland",53.3539371,-6.2910415,Dublin City
2017,24/02/2017,,905000,Second-Hand Dwelling house /Apartment,,"Carraig Grennane, Killiney Ave, Killiney, Co. Dublin, Ireland",53.2581967,-6.1239885,Dn Laoghaire-Rathdown
2017,13/03/2017,Dublin 3,395000,Second-Hand Dwelling house /Apartment,,"1 Casino Rd, Clontarf, Dublin 3, D03 F2H6, Ireland",53.3687281,-6.2329485,Dublin City
2017,20/01/2017,Dublin 16,565000,Second-Hand Dwelling house /Apartment,,"1 Castlefield Dr, Castlefield Manor, Dublin 16, D16 X6X4, Ireland",53.2797887,-6.3261433,South Dublin
2017,12/06/2017,Dublin 6,5.00E+05,Second-Hand Dwelling house /Apartment,,"1, Castlewood Lodge, Castlewood Terrace, Dublin 6, Ireland",53.3235329,-6.2626134,Dublin City
2017,21/06/2017,Dublin 9,288000,Second-Hand Dwelling house /Apartment,,"Apartment 2, Clonliffe Square, Distillery Rd, Drumcondra, Dublin 3, Ireland",53.3643115,-6.2480779,Dublin City
2017,27/01/2017,,750000,Second-Hand Dwelling house /Apartment,,"1 College Dr, Terenure, Dublin 6W, Co. Dublin, D6W KP40, Ireland",53.3056157,-6.3039377,South Dublin
2017,26/04/2017,,410000,Second-Hand Dwelling house /Apartment,,"Apartment 14, Court Apartments, Wilton Pl, Grand Canal Dock, Dublin 2, Ireland",53.3344176,-6.2482363,Dublin City
2017,11/05/2017,Dublin 24,277533,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Garters Lane, Fortunestown Ln, Dublin, Ireland",53.284505,-6.433161,South Dublin
2017,07/04/2017,,250000,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Cluain Fada, Chapel Ln, Garristown, Co. Dublin, Ireland",53.5658478,-6.3789765,Fingal
2017,22/02/2017,Dublin 15,938326,New Dwelling house /Apartment,greater than or equal to 125 sq metres,"Cottonwood, Carpenterstown Road, Carpenterstown, Dublin 15, Ireland",53.3721794,-6.3808069,Fingal
2017,15/02/2017,,330396.47,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Croftwell Square, Co. Dublin, Ireland",53.2788447,-6.4789994,South Dublin
2017,02/02/2017,Dublin 16,345000,New Dwelling house /Apartment,greater than or equal to 125 sq metres,"1 Dalriada Ct, Ballycullen, Dublin 16, D16 N274, Ireland",53.2719784,-6.3281598,South Dublin
2017,07/02/2017,Dublin 15,365488.11,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"1 Diswellstown Cottages, Carpenterstown, Dublin 15, D15 X4XP, Ireland",53.3677518,-6.3796801,Fingal
2017,10/04/2017,Dublin 15,616740,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"1 Diswellstown Cottages, Carpenterstown, Dublin 15, D15 X4XP, Ireland",53.3677518,-6.3796801,Fingal
2017,28/04/2017,,351938,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Oldcourt Rd, Oldcourt, Dublin, Ireland",53.2700459,-6.3415907,South Dublin
2017,10/03/2017,Dublin 24,339207,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,"Oldcourt Rd, Oldcourt, Dublin, Ireland",53.2700459,-6.3415907,South Dublin
2017,13/03/2017,,240000,Second-Hand Dwelling house /Apartment,,"Fisherman's Green, The Green, Malahide, Co. Dublin, Ireland",53.4526071,-6.1546756,Fingal
2017,31/03/2017,Dublin 14,530000,Second-Hand Dwelling house /Apartment,,"Ballyboden Rd, Rathfarnham, Dublin 14, Ireland",53.2876403,-6.2908049,South Dublin
2017,23/01/2017,Dublin 6,607500,Second-Hand Dwelling house /Apartment,,"1 Garville Mews, Rathgar Rd, Dublin 6, D06 EK57, Ireland",53.3151433,-6.2727672,Dublin City
2017,13/02/2017,Dublin 11,270000,Second-Hand Dwelling house /Apartment,,"1 Glasnevin Oaks, Botanic, Dublin 11, D11 A9P1, Ireland",53.3775784,-6.2871852,Dublin City
2017,12/04/2017,Dublin 9,292500,Second-Hand Dwelling house /Apartment,,"1 Glencorp Rd, Whitehall, Dublin 9, D09 EH92, Ireland",53.3835859,-6.2396691,Dublin City
2017,13/06/2017,Dublin 8,405000,Second-Hand Dwelling house /Apartment,,"1 Goldenbridge Terrace, Inchicore, Dublin 8, D08 VYA9, Ireland",53.3370206,-6.3138922,Dublin City
