year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2013,19/12/2013,250000,New,,"Northumberland Court, Northumberland Rd, Dublin 4, Ireland",53.336927,-6.2386306,Dublin City
2015,16/10/2015,254625,New,greater than or equal to 38 sq metres and less than 125 sq metres,"60 The Elms, Rathingle, Co. Dublin, Ireland",53.4478504,-6.252308,Fingal
2017,19/06/2017,299559,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Belltree Avenue, Donaghmede, Dublin, Ireland",53.4065193,-6.1564006,Dublin City
2013,26/07/2013,110000,New,,"11 Oldchurch Cres, Bawnoges, Dublin 22, D22 E722, Ireland",53.3203267,-6.4158564,South Dublin
2016,28/10/2016,430000,New,,"Beverton Lodge, Ascaill Thuirbhe, Beaverstown, Donabate, Co. Dublin, Ireland",53.4896354,-6.1609281,Fingal
2016,28/10/2016,725000,New,,"14 Coulson Ave, Dublin 6, D06 HE97, Ireland",53.3143313,-6.2773775,Dublin City
2015,24/07/2015,495000,New,,"Dublin, Ireland",53.3498053,-6.2603097,Dublin City
2016,27/09/2016,308400,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Phelan Ave, Ashtown, Dublin, Ireland",53.3766161,-6.3166766,Dublin City
2017,14/03/2017,375000,New,,"Apartment 2, Avoca Court, Avoca Ave, Carrysfort, Blackrock, Co. Dublin, Ireland",53.2960147,-6.1904205,DLR
2017,03/03/2017,352422,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Honeypark, DÃŒÂ¼n Laoghaire, Co. Dublin, Ireland",53.2804207,-6.143294,DLR
2012,01/05/2012,132159,New,greater than or equal to 38 sq metres and less than 125 sq metres,"2, Castlegate House, Adamstown Ave, Adamstown Castle, Lucan, Co. Dublin, Ireland",53.3375978,-6.4620437,South Dublin
2015,26/06/2015,445000,New,,"Stone Loft, Barnhill Rd, Dalkey, Co. Dublin, Ireland",53.2775459,-6.1120947,DLR
2014,19/12/2014,205000,New,,"Riverwood Hall, Carpenterstown Road, Carpenterstown, Dublin 15, Ireland",53.37729,-6.3936054,Fingal
2014,26/09/2014,380000,New,,"8 Brookvale Rd, Dublin 4, D04 A9P0, Ireland",53.3182128,-6.2342011,Dublin City
2017,16/02/2017,242359,New,greater than or equal to 38 sq metres and less than 125 sq metres,"33 Glenageary Rd Upper, Honeypark, Dublin, Ireland",53.2827569,-6.141109,DLR
2014,22/01/2014,236150,New,,"S Circular Rd, Dublin, Co. Dublin, Ireland",53.3350347,-6.2936469,Dublin City
2015,28/01/2015,308370,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Brandon Square, Waterville, Blanchardstown, Co. Dublin, Ireland",53.3927045,-6.3660461,Fingal
2013,16/09/2013,390000,New,,"32 Rathmore Ave, Kilmacud, Blackrock, Co. Dublin, A94 W6D9, Ireland",53.2857016,-6.2169716,DLR
2015,02/04/2015,410000,New,,"Bayview, Pembroke St, Dublin 4, Ireland",53.3387132,-6.221316,Dublin City
2014,26/03/2014,175000,New,,"Trinity Technology & Enterprise Campus, Pearse St, Grand Canal Dock, Dublin 2, Ireland",53.3410848,-6.2407343,Dublin City
2015,15/06/2015,124300,New,greater than or equal to 38 sq metres and less than 125 sq metres,"322, West Park Gate, BÃƒÂ³thar an tSeanbhÃƒÂ¡bhÃƒÂºin, Tallaght, Dublin 24, Ireland",53.2873796,-6.3625987,South Dublin
2013,11/11/2013,125000,New,,"Dublin, Ireland",53.3498053,-6.2603097,Dublin City
2013,02/10/2013,865000,New,,"5 Rosmeen Gardens, DÃƒÂºn Laoghaire, Dublin, A96 A406, Ireland",53.2888507,-6.1295079,DLR
2012,27/11/2012,128000,New,,"6 The Crescent, Robswalls, Malahide, Co. Dublin, Ireland",53.4446748,-6.1322333,Fingal
2016,21/09/2016,565000,New,,"57 Navan Rd, Skreen Rd, Cabra West, Dublin 7, D07 Y6Y2, Ireland",53.3618784,-6.3077839,Dublin City
2013,23/05/2013,49500,New,,"17 Sheepmoor Grove, Blakestown, Dublin 15, D15 PKE1, Ireland",53.3941896,-6.4008642,Fingal
2017,03/03/2017,308370,New,greater than or equal to 38 sq metres and less than 125 sq metres,"118, Neptune Lodge, Sandycove Point, DÃŒÂ¼n Laoghaire, Dublin, Ireland",53.2890348,-6.114664,DLR
2014,09/12/2014,114136,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Portland St N, Ballybough, Dublin, Ireland",53.3596158,-6.2562152,Dublin City
2017,07/04/2017,216706,New,greater than or equal to 38 sq metres and less than 125 sq metres,"33 Glenageary Rd Upper, Honeypark, Dublin, Ireland",53.2827569,-6.141109,DLR
2013,15/10/2013,305000,New,,"42 Chanel Rd, Beaumont, Dublin 5, D05 P2P5, Ireland",53.3872079,-6.2051022,Dublin City
2015,16/07/2015,237000,New,,"3 Ivar St, Arbour Hill, Dublin 7, D07 C6C6, Ireland",53.3521405,-6.2854308,Dublin City
2012,01/11/2012,70000,New,,"N Circular Rd, Dublin, Co. Dublin, Ireland",53.3602656,-6.2767753,Dublin City
2014,11/07/2014,132057,New,greater than or equal to 38 sq metres and less than 125 sq metres,"Dublin, Ireland",53.3498053,-6.2603097,Dublin City
2012,23/11/2012,290000,New,,"39 Botanic Ave, Drumcondra, Dublin 9, D09 A8X4, Ireland",53.3717636,-6.2660892,Dublin City
2016,02/06/2016,246000,New,,"4 Swords Rd, Lissadel Wood, Yellow Walls, Malahide, Co. Dublin, K36 FX54, Ireland",53.4517926,-6.1893041,Fingal
2013,12/03/2013,212500,New,,"Portmarnock, Co. Dublin, Ireland",53.4256084,-6.1316039,Fingal
2012,20/08/2012,205000,New,,"Grand Canal Street Upper, Dublin, Ireland",53.337964,-6.2364865,Dublin City
