year,sale_date,price,description_of_property,property_size_description,formatted_address,latitude,longitude,geo_county
2017,03/04/2017,340000,Second-Hand,,"11 Parkview, Carrickhill, Portmarnock, Co. Dublin, D13 K759, Ireland",53.4314908,-6.1298886,Fingal
2014,19/12/2014,635000,Second-Hand,,"13 Holly Park Ave, Glebe, Dublin, Ireland",53.2822807,-6.1773882,DLR
2012,20/08/2012,105000,Second-Hand,,"103 Annaly Rd, Cabra East, Dublin 7, D07 N6C5, Ireland",53.3637491,-6.2846235,Dublin City
2016,09/12/2016,355000,Second-Hand,,"Garristown, Co. Dublin, Ireland",53.5668673,-6.3835624,Fingal
2014,20/11/2014,150000,Second-Hand,,"3 Dame St, Cork Hill, Dublin 2, D02 DR53, Ireland",53.3441644,-6.2675001,Dublin City
2015,17/06/2015,295154,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"Barnageeragh Cove, Skerries, Co. Dublin, Ireland",53.58443,-6.1342863,Fingal
2013,28/02/2013,91040,Second-Hand,,"1 Walkinstown Cl, Walkinstown, Dublin 12, D12 AE42, Ireland",53.3211427,-6.3368575,Dublin City
2015,24/07/2015,248000,Second-Hand,,"7 Foxwood, Commons East, Swords, Co. Dublin, K67 W952, Ireland",53.4535917,-6.2132443,Fingal
2013,13/09/2013,540000,Second-Hand,,"3 Lea Cres, Dublin 4, D04 WT21, Ireland",53.330223,-6.2102875,Dublin City
2013,29/07/2013,157000,Second-Hand,,"53 Dowth Ave, Cabra East, Dublin 7, D07 W5P9, Ireland",53.3619914,-6.2828071,Dublin City
2013,17/09/2013,475000,Second-Hand,,"Woodtown Lodge, Stocking Ln, Rathfarnham, Dublin 16, Ireland",53.2654928,-6.3131784,South Dublin
2016,09/02/2016,231000,Second-Hand,,"32 Slade Castle Ave, Moneyatta Commons, Co. Dublin, Ireland",53.2787246,-6.4458773,South Dublin
2013,07/05/2013,159000,Second-Hand,,"11, Chaworth Terrace, Hanbury Ln, Merchants Quay, Dublin 8, Ireland",53.3420822,-6.2805746,Dublin City
2016,13/09/2016,425000,Second-Hand,,"35 Portmarnock Cres, Carrickhill, Portmarnock, Co. Dublin, Ireland",53.4337098,-6.1256477,Fingal
2015,15/04/2015,268329,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"Stillorgan Rd, Dublin, Ireland",53.29624,-6.2038961,DLR
2015,18/06/2015,822000,Second-Hand,,"3 Belarmine Park, Belarmine, Dublin 18, D18 F603, Ireland",53.2589084,-6.2199957,DLR
2012,01/06/2012,333000,Second-Hand,,"120 Grange Rd, Rathfarnham, Dublin 14, D14 FP89, Ireland",53.2873922,-6.2825485,South Dublin
2012,19/06/2012,88500,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"71, Crosbie's Yard, 64 Ossory Rd, East Wall, Dublin, Ireland",53.3554387,-6.2411408,Dublin City
2015,05/06/2015,213890,Second-Hand,,"Thomas Davis St W, Inchicore, Dublin, Ireland",53.3381511,-6.3200516,Dublin City
2017,27/04/2017,447076,Second-Hand,,"Fortwilliam, Mount Merrion Ave, Merrion, Blackrock, Co. Dublin, Ireland",53.2965155,-6.2032576,DLR
2014,31/03/2014,340000,Second-Hand,,"Dublin, Ireland",53.3498053,-6.2603097,Dublin City
2017,10/05/2017,283000,Second-Hand,,"62 Lismore Rd, Kimmage, Dublin 12, D12 V9P2, Ireland",53.3220139,-6.2978105,Dublin City
2016,06/05/2016,190000,Second-Hand,,"Newmarket Square,Apartment 85, Ward's Hill, Merchants Quay, Dublin 8, Ireland",53.3375002,-6.2756636,Dublin City
2015,06/05/2015,134578,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"Santry, Co. Dublin, Ireland",53.3978924,-6.256171,Dublin City
2013,12/12/2013,581500,Second-Hand,greater than or equal to 38 sq metres and less than 125 sq metres,"2 College Dr, Terenure, Dublin 6W, Co. Dublin, D6W DE20, Ireland",53.3060271,-6.3025853,South Dublin
2015,27/02/2015,270000,Second-Hand,,"4 Clonmellon Grove, Grange, Dublin 13, D13 Y5Y3, Ireland",53.397942,-6.1720509,Dublin City
2013,09/10/2013,200000,Second-Hand,,"Herbert St, Grand Canal Dock, Dublin, Co. Dublin, Ireland",53.3362184,-6.2449355,Dublin City
2015,28/10/2015,555000,Second-Hand,,"32 Obelisk Rise, St Augustine's Park, Blackrock, Co. Dublin, A94 EK80, Ireland",53.2868261,-6.1858631,DLR
2016,28/01/2016,290000,Second-Hand,,"19 Fernvale Dr, Walkinstown, Dublin 12, D12 V8C5, Ireland",53.3238921,-6.3174281,Dublin City
