,year,input_string,sale_date,address,postal_code,ppr_county,price,not_full_market_price,vat_exclusive,description_of_property,property_size_description,date,formatted_address,accuracy,latitude,longitude,postcode,type,geo_county,electoral_district,electoral_district_id,region,small_area
131,2012,"0 The Sycamore Elmfield, Ballyogan Road, Leopaardstown,Dublin,Ireland",23/01/2012,"0 The Sycamore Elmfield, Ballyogan Road, Leopaardstown",Dublin 18,Dublin,154185.02,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,23/01/2012,"Apartment 27 The Sycamore, Elmfield, Ballyogan Rd, Sandyford, Dublin 18, Ireland",ROOFTOP,53.2604944,-6.2061207,,premise,Dn Laoghaire-Rathdown,Glencullen,5057,Dublin,267092026/267092050
230,2012,"1 Barnwell Terrace, Hansfield, Dublin 15,Dublin,Ireland",13/08/2012,"1 Barnwell Terrace, Hansfield, Dublin 15",Dublin 15,Dublin,140925.11,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,13/08/2012,"1 Barnwell Terrace, Hansfield, Dublin 15, D15 HT9F, Ireland",ROOFTOP,53.3912,-6.4437823,D15 HT9F,street_address,Fingal,Blanchardstown-Blakestown,4009,Dublin,267028004/01
280,2012,"1 Castleknock Golf Club, Somerton, Castleknock,Dublin,Ireland",19/06/2012,"1 Castleknock Golf Club, Somerton, Castleknock",Dublin 15,Dublin,638766.51,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,19/06/2012,"1 Somerton Rd, Co. Dublin, Ireland",RANGE_INTERPOLATED,53.3652156,-6.3883393,,street_address,Fingal,Castleknock-Knockmaroon,4016,Dublin,267040004
420,2012,"1 Heathfield Green, Finglas,Dublin,Ireland",26/07/2012,"1 Heathfield Green, Finglas",Dublin 11,Dublin,129422.02,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,26/07/2012,"1 Heathfield Green, Kildonan, Dublin 11, D11 C6R9, Ireland",ROOFTOP,53.3947578,-6.3224868,D11 C6R9,street_address,Fingal,The Ward,4041,Dublin,267158009
558,2012,"1 Sandford sq, merton drive, ranelagh,Dublin,Ireland",19/06/2012,"1 Sandford sq, merton drive, ranelagh",Dublin 6,Dublin,1365638,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,19/06/2012,"1, Sandford Square, Merton Dr, Dublin 6, Ireland",ROOFTOP,53.3218704,-6.2491924,,subpremise,Dublin City,Rathmines East D,2137,Dublin,268131010
601,2012,"1 Stocking Wood Manor, Stocking Avenue, Rathfarnham,Dublin,Ireland",19/11/2012,"1 Stocking Wood Manor, Stocking Avenue, Rathfarnham",Dublin 16,Dublin,207048,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,19/11/2012,"1 Stocking Well Row, Stocking Wood Hall, Rathfarnham, Dublin 16, D16 T296, Ireland",ROOFTOP,53.2721683,-6.3189741,D16 T296,street_address,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085006
615,2012,"1 The Avenue, Carrickmines Manor, Glenamuck Road,Dublin,Ireland",10/10/2012,"1 The Avenue, Carrickmines Manor, Glenamuck Road",Dublin 18,Dublin,273128,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,10/10/2012,"Glenamuck Rd, Dublin, Ireland",GEOMETRIC_CENTER,53.2491119,-6.1807247,,route,Dn Laoghaire-Rathdown,Cabinteely-Loughlinstown,5020,Dublin,267038001
733,2012,"1/1a Hyde Square, South Circular Road,Dublin,Ireland",01/05/2012,"1/1a Hyde Square, South Circular Road",Dublin 8,Dublin,154185,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,01/05/2012,"Hyde Square, S Circular Rd, Ushers, Dublin 8, Ireland",ROOFTOP,53.3394976,-6.3038433,,premise,Dublin City,Ushers F,2157,Dublin,268153003
784,2012,"10 Barnwell Crescent, Barnwell, Hansfield,Dublin,Ireland",18/04/2012,"10 Barnwell Crescent, Barnwell, Hansfield",Dublin 15,Dublin,164950,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,18/04/2012,"10 Barnwell St, Williston, SC 29853, USA",RANGE_INTERPOLATED,33.3995048,-81.4209608,29853,street_address,NA,NA,NA,NA,NA
1030,2012,"10 Somerton, Castleknock Golf Club, Castleknock,Dublin,Ireland",21/11/2012,"10 Somerton, Castleknock Golf Club, Castleknock",Dublin 15,Dublin,643171.81,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,21/11/2012,"Somerton, Astagob, Dublin 15, Ireland",ROOFTOP,53.3647587,-6.3941356,,premise,Fingal,Castleknock-Knockmaroon,4016,Dublin,267040004
1277,2012,"106 Crosbies Yard, Ossory Road,Dublin,Ireland",31/07/2012,"106 Crosbies Yard, Ossory Road",Dublin 3,Dublin,91500,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,31/07/2012,"Crosbie's Yard, 64 Ossory Rd, East Wall, Dublin, Ireland",ROOFTOP,53.3554387,-6.2411408,,"establishment,point_of_interest,premise",Dublin City,North Dock B,2077,Dublin,268108016
1414,2012,"11 Barnwell Road, Hansfield,Dublin,Ireland",11/09/2012,"11 Barnwell Road, Hansfield",Dublin 15,Dublin,155000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,11/09/2012,"11 Barnwell Rd, Hansfield, Dublin 15, D15 NF7K, Ireland",ROOFTOP,53.3909732,-6.4431382,D15 NF7K,street_address,Fingal,Blanchardstown-Blakestown,4009,Dublin,267028004/01
1459,2012,"11 Claremont, Carrickmines,Dublin,Ireland",04/07/2012,"11 Claremont, Carrickmines",Dublin 18,Dublin,638745,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,04/07/2012,"11 Claremont Pines, Cabinteely, Dublin 18, D18 N1W8, Ireland",ROOFTOP,53.2600162,-6.167821,D18 N1W8,street_address,Dn Laoghaire-Rathdown,Foxrock-Carrickmines,5054,Dublin,267088003
1603,2012,"11 STOCKING WOOD MANOR, STOCKING AVENUE, RATHFARNHAM,Dublin,Ireland",02/10/2012,"11 STOCKING WOOD MANOR, STOCKING AVENUE, RATHFARNHAM",Dublin 16,Dublin,207000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,02/10/2012,"Stocking Well Row, Ballycullen, Dublin, Ireland",GEOMETRIC_CENTER,53.2727917,-6.3193542,,route,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
1623,2012,"11 Stocking Wood Way, Stocking Avenue, Rathfarnham,Dublin,Ireland",19/12/2012,"11 Stocking Wood Way, Stocking Avenue, Rathfarnham",Dublin 16,Dublin,189427,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,19/12/2012,"Stocking Well Row, Ballycullen, Dublin, Ireland",GEOMETRIC_CENTER,53.2727917,-6.3193542,,route,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
1721,2012,"110 St Margaret's Road, Hampton Wood, Dublin 11,Dublin,Ireland",30/11/2012,"110 St Margaret's Road, Hampton Wood, Dublin 11",Dublin 11,Dublin,88106,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,30/11/2012,"110 St Margaret's Rd, Ballymun, Dublin, Ireland",RANGE_INTERPOLATED,53.4063885,-6.289165,,street_address,Dublin City,Ballymun A,2015,Dublin,268015010
1785,2012,"112A Foxrock Grove, Foxrock,Dublin,Ireland",27/11/2012,"112A Foxrock Grove, Foxrock",Dublin 18,Dublin,521585.9,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres,27/11/2012,"112 Foxrock Grove, Kill of the Grange, Dublin 18, D18 Y3K8, Ireland",ROOFTOP,53.2776254,-6.1664575,D18 Y3K8,street_address,Dn Laoghaire-Rathdown,Foxrock-Deans Grange,5055,Dublin,267089004
1886,2012,"118 Citywest Plaza, Citywest, Dublin 24,Dublin,Ireland",05/09/2012,"118 Citywest Plaza, Citywest, Dublin 24",Dublin 24,Dublin,66079.3,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,05/09/2012,"Apartment 204, Citywest Plaza, Citywest Dr, Fortunestown, Saggart, Co. Dublin, Ireland",ROOFTOP,53.2829118,-6.4227919,,premise,South Dublin,Tallaght-Jobstown,3032,Dublin,267140055/01
1906,2012,"119 Crosbies Yard, Ossory Rd,Dublin,Ireland",17/05/2012,"119 Crosbies Yard, Ossory Rd",Dublin 3,Dublin,86500,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,17/05/2012,"Crosbie's Yard, 64 Ossory Rd, East Wall, Dublin, Ireland",ROOFTOP,53.3554387,-6.2411408,,"establishment,point_of_interest,premise",Dublin City,North Dock B,2077,Dublin,268108016
1920,2012,"11D  Grosvenor Mews, Rathmines,Dublin,Ireland",16/05/2012,"11D  Grosvenor Mews, Rathmines",Dublin 6,Dublin,339207,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,16/05/2012,"11D Grosvenor Ln, Dublin 6, D06 A3X6, Ireland",ROOFTOP,53.3239504,-6.2715365,D06 A3X6,street_address,Dublin City,Rathmines West A,2138,Dublin,268132021
2061,2012,"12 Edward Square, Bloomfield Avenue, Donnybrook,Dublin,Ireland",26/03/2012,"12 Edward Square, Bloomfield Avenue, Donnybrook",Dublin 4,Dublin,1081057,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,26/03/2012,"12 Bloomfield Ave, Edward Square, Dublin 4, D04 A0P4, Ireland",ROOFTOP,53.3267768,-6.2455133,D04 A0P4,street_address,Dublin City,Rathmines East A,2134,Dublin,268128012/01
2116,2012,"12 Latchford Place, Castaheany, Dublin 15,Dublin,Ireland",05/04/2012,"12 Latchford Place, Castaheany, Dublin 15",Dublin 15,Dublin,148000,Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,05/04/2012,"12 Latchford Pl, Castaheany, Clonee, Co. Dublin, D15 YF6K, Ireland",ROOFTOP,53.3990967,-6.4326494,D15 YF6K,street_address,Fingal,Blanchardstown-Blakestown,4009,Dublin,267028077
2201,2012,"12 Stocking Wood Drive, Stocking Avenue, Rathfarnham,Dublin,Ireland",10/12/2012,"12 Stocking Wood Drive, Stocking Avenue, Rathfarnham",Dublin 16,Dublin,299000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,10/12/2012,"Stocking Well Row, Ballycullen, Dublin, Ireland",GEOMETRIC_CENTER,53.2727917,-6.3193542,,route,South Dublin,Firhouse-Ballycullen,3012,Dublin,267085014/02
